ID_PROMOMPROD,TIPO_ANALITICO_PROMOCION,MECANICA PROMOCIONES,TIPO_ANALITICO_PMECANICA,MECANICA PRODUCTOS MECANICA,SUB_TIPO_ANALITICO_PMECANICA,CATEGORIA DE PRODUCTO,Prod_Meca_Brinda_Bono
P_PM_01_01_01,1,TROFEO 1,1,TROFEO 1,1,TROFEO 1,Y
P_PM_02_01_01,2,TROFEO 2,1,TROFEO 2,1,TROFEO 2,Y
P_PM_03_01_01,3,TROFEO 3,1,TROFEO 3,1,TROFEO 3,Y
P_PM_04_01_01,4,TROFEO 4,1,TROFEO 4,1,TROFEO 4,Y
P_PM_05_01_01,5,TROFEO 5,1,TROFEO 5,1,TROFEO 5,Y
P_PM_06_01_01,6,TROFEO 6,1,TROFEO 6,1,TROFEO 6,Y
P_PM_07_01_01,7,TROFEO 1 TICKET,1,TROFEO 1 TICKET,1,TICKET,N
P_PM_07_02_02,7,TROFEO 1 TICKET,2,TROFEO 1 TICKET ACREDITA,2,TROFEO 1,Y
P_PM_08_01_01,8,TROFEO 2 TICKET,1,TROFEO 2 TICKET,1,TICKET,N
P_PM_08_02_02,8,TROFEO 2 TICKET,2,TROFEO 2 TICKET ACREDITA,2,TROFEO 2,Y
P_PM_09_01_01,9,TROFEO 3 TICKET,1,TROFEO 3 TICKET,1,TICKET,N
P_PM_09_02_02,9,TROFEO 3 TICKET,2,TROFEO 3 TICKET ACREDITA,2,TROFEO 3,Y
P_PM_10_01_01,10,TROFEO 4 TICKET,1,TROFEO 4 TICKET,1,TICKET,N
P_PM_10_02_02,10,TROFEO 4 TICKET,2,TROFEO 4 TICKET ACREDITA,2,TROFEO 4,Y
P_PM_11_01_01,11,TROFEO 5 TICKET,1,TROFEO 5 TICKET,1,TICKET,N
P_PM_11_02_02,11,TROFEO 5 TICKET,2,TROFEO 5 TICKET ACREDITA,2,TROFEO 5,Y
P_PM_12_01_01,12,TROFEO 6 TICKET,1,TROFEO 6 TICKET,1,TICKET,N
P_PM_12_02_02,12,TROFEO 6 TICKET,2,TROFEO 6 TICKET ACREDITA,2,TROFEO 6,Y
P_PM_13_01_01,13,TROFEO 1 TICKET ACUMULADO,1,TROFEO 1 TICKET ACUMULACION,1,TICKET,N
P_PM_13_02_02,13,TROFEO 1 TICKET ACUMULADO,2,TROFEO 1 TICKET ACREDITACION,2,TROFEO 1,Y
P_PM_14_01_01,14,TROFEO 2 TICKET ACUMULADO,1,TROFEO 2 TICKET ACUMULACION,1,TICKET,N
P_PM_14_02_02,14,TROFEO 2 TICKET ACUMULADO,2,TROFEO 2 TICKET ACREDITACION,2,TROFEO 2,Y
