CC,Nombre Galeria,ABREVIATURA
ACAPULCO,GALERIAS ACAPULCO,ACA
ATIZAPAN,GALERIAS ATIZAPAN,ATZ
CAMPECHE,GALERIAS CAMPECHE,CAM
CELAYA,GALERIAS CELAYA,CEL
CHILPANCINGO,GALERIAS CHILPANCINGO,CHI
COAPA,GALERIAS COAPA,COA
CUERNAVACA,GALERIAS CUERNAVACA,MOR
INSURGENTES,GALERIAS INSURGENTES,INS
LAGUNA,GALERIAS LAGUNA,LAG
MAZATLAN,GALERIAS MAZATLAN,MAZ
MERIDA,GALERIAS MERIDA,MER
METEPEC,GALERIAS METEPEC,MET
MONTERREY,GALERIAS MONTERREY,MTY
PERINORTE,GALERIAS PERINORTE,PN
PERISUR,PERISUR,PS
QUERETARO,GALERIAS QUERETARO,QRO
SALTILLO,GALERIAS SALTILLO,SAL
SAN JUAN DEL RIO,GALERIAS SAN JUAN DEL RIO,SJR
SERDAN,GALERIAS SERDAN,SER
TABASCO,GALERIAS TABASCO,TAB
TOLUCA,GALERIAS TOLUCA,TOL
VALLARTA,GALERIAS VALLARTA,VAL
ZACATECAS,GALERIAS ZACATECAS,ZAC
CORPORATIVA,GALERIAS CORPORATIVA,CORPO
TLAXCALA,GALERIAS TLAXCALA,TXL
